Model,Asset,Value,What
MLPClassifier,TRXUSDT_1d,"{1: 0.9733333333333334, 0: 0.02666666666666667}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_1d,0.36274103551038717,F1 VALIDATION
MLPClassifier,TRXUSDT_1d,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
MLPClassifier,TRXUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_1d,0.3838704413821533,F1 VALIDATION
MLPClassifier,TRXUSDT_1d,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
MLPClassifier,TRXUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_1d,0.36274103551038717,F1 VALIDATION
MLPClassifier,TRXUSDT_1d,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
MLPClassifier,TRXUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_1d,0.36274103551038717,F1 VALIDATION
MLPClassifier,TRXUSDT_1d,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
MLPClassifier,TRXUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_1d,0.37543011114063923,F1 VALIDATION
MLPClassifier,TRXUSDT_1d,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
MLPClassifier,TRXUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_1d,0.384324745917627,F1 VALIDATION
MLPClassifier,TRXUSDT_1d,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
MLPClassifier,TRXUSDT_1d,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_1d,0.37748006666473927,F1 VALIDATION
MLPClassifier,TRXUSDT_1d,"{1: 0.6933333333333334, 0: 0.30666666666666664}",DESBALANCEO REAL VAL
