Frequency,Asset,Model,Value,What
1d,LINKUSDT_1d,RandomForestClassifier,0.47949417224552554,F1 VALIDATION
1d,LINKUSDT_1d,RandomForestClassifier,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
1d,LINKUSDT_1d,RandomForestClassifier,"{0: 0.9733333333333334, 1: 0.02666666666666667}",DESBALANCEO PREDICCIÓN VAL
1d,LINKUSDT_1d,RandomForestClassifier,0.4648111912380443,F1 VALIDATION
1d,LINKUSDT_1d,RandomForestClassifier,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
1d,LINKUSDT_1d,RandomForestClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
1d,LINKUSDT_1d,RandomForestClassifier,0.4885301601141199,F1 VALIDATION
1d,LINKUSDT_1d,RandomForestClassifier,"{1: 0.7066666666666667, 0: 0.29333333333333333}",DESBALANCEO REAL VAL
1d,LINKUSDT_1d,RandomForestClassifier,"{0: 0.9333333333333333, 1: 0.06666666666666667}",DESBALANCEO PREDICCIÓN VAL
1d,LINKUSDT_1d,RandomForestClassifier,0.5191256830601093,FINAL TEST
1d,LINKUSDT_1d,RandomForestClassifier,0.473260720243352,F1 FINAL TEST
1d,LINKUSDT_1d,RandomForestClassifier,"{0: 0.505464480874317, 1: 0.49453551912568305}",DESBALANCEO REAL
1d,LINKUSDT_1d,RandomForestClassifier,"{0: 0.7896174863387978, 1: 0.2103825136612022}",DESBALANCEO PREDICCIÓN
1d,AVAXUSDT_1d,RandomForestClassifier,0.4945205944278744,F1 VALIDATION
1d,AVAXUSDT_1d,RandomForestClassifier,"{1: 0.84, 0: 0.16}",DESBALANCEO REAL VAL
1d,AVAXUSDT_1d,RandomForestClassifier,"{1: 0.5866666666666667, 0: 0.41333333333333333}",DESBALANCEO PREDICCIÓN VAL
1d,AVAXUSDT_1d,RandomForestClassifier,0.45753666180821223,F1 VALIDATION
1d,AVAXUSDT_1d,RandomForestClassifier,"{1: 0.84, 0: 0.16}",DESBALANCEO REAL VAL
1d,AVAXUSDT_1d,RandomForestClassifier,"{0: 0.7333333333333333, 1: 0.26666666666666666}",DESBALANCEO PREDICCIÓN VAL
1d,AVAXUSDT_1d,RandomForestClassifier,0.47904042053102136,F1 VALIDATION
1d,AVAXUSDT_1d,RandomForestClassifier,"{1: 0.84, 0: 0.16}",DESBALANCEO REAL VAL
1d,AVAXUSDT_1d,RandomForestClassifier,"{0: 0.5066666666666667, 1: 0.49333333333333335}",DESBALANCEO PREDICCIÓN VAL
1d,AVAXUSDT_1d,RandomForestClassifier,0.4530074495122455,F1 VALIDATION
1d,AVAXUSDT_1d,RandomForestClassifier,"{1: 0.84, 0: 0.16}",DESBALANCEO REAL VAL
1d,AVAXUSDT_1d,RandomForestClassifier,"{0: 0.68, 1: 0.32}",DESBALANCEO PREDICCIÓN VAL
1d,AVAXUSDT_1d,RandomForestClassifier,0.46724709798431496,F1 VALIDATION
1d,AVAXUSDT_1d,RandomForestClassifier,"{1: 0.84, 0: 0.16}",DESBALANCEO REAL VAL
1d,AVAXUSDT_1d,RandomForestClassifier,"{0: 0.68, 1: 0.32}",DESBALANCEO PREDICCIÓN VAL
1d,AVAXUSDT_1d,RandomForestClassifier,0.461236457167606,F1 VALIDATION
1d,AVAXUSDT_1d,RandomForestClassifier,"{1: 0.84, 0: 0.16}",DESBALANCEO REAL VAL
1d,AVAXUSDT_1d,RandomForestClassifier,"{0: 0.68, 1: 0.32}",DESBALANCEO PREDICCIÓN VAL
1d,AVAXUSDT_1d,RandomForestClassifier,0.45575057156854193,F1 VALIDATION
1d,AVAXUSDT_1d,RandomForestClassifier,"{1: 0.84, 0: 0.16}",DESBALANCEO REAL VAL
1d,AVAXUSDT_1d,RandomForestClassifier,"{0: 0.6666666666666666, 1: 0.3333333333333333}",DESBALANCEO PREDICCIÓN VAL
1d,AVAXUSDT_1d,RandomForestClassifier,0.4605815878834491,F1 VALIDATION
1d,AVAXUSDT_1d,RandomForestClassifier,"{1: 0.84, 0: 0.16}",DESBALANCEO REAL VAL
1d,AVAXUSDT_1d,RandomForestClassifier,"{0: 0.6266666666666667, 1: 0.37333333333333335}",DESBALANCEO PREDICCIÓN VAL
1d,AVAXUSDT_1d,RandomForestClassifier,0.5063052373118777,F1 VALIDATION
1d,AVAXUSDT_1d,RandomForestClassifier,"{1: 0.84, 0: 0.16}",DESBALANCEO REAL VAL
1d,AVAXUSDT_1d,RandomForestClassifier,"{0: 0.64, 1: 0.36}",DESBALANCEO PREDICCIÓN VAL
1d,AVAXUSDT_1d,RandomForestClassifier,0.4582082837113982,F1 VALIDATION
1d,AVAXUSDT_1d,RandomForestClassifier,"{1: 0.84, 0: 0.16}",DESBALANCEO REAL VAL
1d,AVAXUSDT_1d,RandomForestClassifier,"{0: 0.6933333333333334, 1: 0.30666666666666664}",DESBALANCEO PREDICCIÓN VAL
1d,AVAXUSDT_1d,RandomForestClassifier,0.5655737704918032,FINAL TEST
1d,AVAXUSDT_1d,RandomForestClassifier,0.5514256422905859,F1 FINAL TEST
1d,AVAXUSDT_1d,RandomForestClassifier,"{0: 0.5245901639344263, 1: 0.47540983606557374}",DESBALANCEO REAL
1d,AVAXUSDT_1d,RandomForestClassifier,"{0: 0.6530054644808743, 1: 0.3469945355191257}",DESBALANCEO PREDICCIÓN
1d,BTCUSDT_1d,GradientBoostingClassifier,0.5068061480479933,F1 VALIDATION
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.56, 0: 0.44}",DESBALANCEO PREDICCIÓN VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,0.46517593108048694,F1 VALIDATION
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.56, 0: 0.44}",DESBALANCEO PREDICCIÓN VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,0.47959252619337844,F1 VALIDATION
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,"{0: 0.5466666666666666, 1: 0.4533333333333333}",DESBALANCEO PREDICCIÓN VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,0.5149264086709298,F1 VALIDATION
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.5866666666666667, 0: 0.41333333333333333}",DESBALANCEO PREDICCIÓN VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,0.512426605562275,F1 VALIDATION
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,"{0: 0.5066666666666667, 1: 0.49333333333333335}",DESBALANCEO PREDICCIÓN VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,0.5132114309568359,F1 VALIDATION
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.6266666666666667, 0: 0.37333333333333335}",DESBALANCEO PREDICCIÓN VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,0.4908703037997924,F1 VALIDATION
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.52, 0: 0.48}",DESBALANCEO PREDICCIÓN VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,0.5097847039779946,F1 VALIDATION
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.6, 0: 0.4}",DESBALANCEO PREDICCIÓN VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,0.4648110959894689,F1 VALIDATION
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.52, 0: 0.48}",DESBALANCEO PREDICCIÓN VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,0.5186173195397996,F1 VALIDATION
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO REAL VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.5733333333333334, 0: 0.4266666666666667}",DESBALANCEO PREDICCIÓN VAL
1d,BTCUSDT_1d,GradientBoostingClassifier,0.48633879781420764,FINAL TEST
1d,BTCUSDT_1d,GradientBoostingClassifier,0.4765701071080818,F1 FINAL TEST
1d,BTCUSDT_1d,GradientBoostingClassifier,"{1: 0.5628415300546448, 0: 0.4371584699453552}",DESBALANCEO REAL
1d,BTCUSDT_1d,GradientBoostingClassifier,"{0: 0.6994535519125683, 1: 0.3005464480874317}",DESBALANCEO PREDICCIÓN
1d,ETHUSDT_1d,GradientBoostingClassifier,0.4387231847484605,F1 VALIDATION
1d,ETHUSDT_1d,GradientBoostingClassifier,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,"{0: 0.7866666666666666, 1: 0.21333333333333335}",DESBALANCEO PREDICCIÓN VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,0.4468723536778584,F1 VALIDATION
1d,ETHUSDT_1d,GradientBoostingClassifier,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,"{0: 0.76, 1: 0.24}",DESBALANCEO PREDICCIÓN VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,0.4307784103814584,F1 VALIDATION
1d,ETHUSDT_1d,GradientBoostingClassifier,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,"{0: 0.8266666666666667, 1: 0.17333333333333334}",DESBALANCEO PREDICCIÓN VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,0.42697735979021656,F1 VALIDATION
1d,ETHUSDT_1d,GradientBoostingClassifier,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,"{0: 0.88, 1: 0.12}",DESBALANCEO PREDICCIÓN VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,0.4197985630225226,F1 VALIDATION
1d,ETHUSDT_1d,GradientBoostingClassifier,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,"{0: 0.7733333333333333, 1: 0.22666666666666666}",DESBALANCEO PREDICCIÓN VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,0.46729654604465337,F1 VALIDATION
1d,ETHUSDT_1d,GradientBoostingClassifier,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,"{0: 0.7066666666666667, 1: 0.29333333333333333}",DESBALANCEO PREDICCIÓN VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,0.45888363893772893,F1 VALIDATION
1d,ETHUSDT_1d,GradientBoostingClassifier,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,"{0: 0.7466666666666667, 1: 0.25333333333333335}",DESBALANCEO PREDICCIÓN VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,0.44968264000075964,F1 VALIDATION
1d,ETHUSDT_1d,GradientBoostingClassifier,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,"{0: 0.7333333333333333, 1: 0.26666666666666666}",DESBALANCEO PREDICCIÓN VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,0.45037013637160284,F1 VALIDATION
1d,ETHUSDT_1d,GradientBoostingClassifier,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,"{0: 0.7066666666666667, 1: 0.29333333333333333}",DESBALANCEO PREDICCIÓN VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,0.43791889831127734,F1 VALIDATION
1d,ETHUSDT_1d,GradientBoostingClassifier,"{1: 0.72, 0: 0.28}",DESBALANCEO REAL VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,"{0: 0.72, 1: 0.28}",DESBALANCEO PREDICCIÓN VAL
1d,ETHUSDT_1d,GradientBoostingClassifier,0.4808743169398907,FINAL TEST
1d,ETHUSDT_1d,GradientBoostingClassifier,0.4808123040167239,F1 FINAL TEST
1d,ETHUSDT_1d,GradientBoostingClassifier,"{1: 0.5136612021857924, 0: 0.48633879781420764}",DESBALANCEO REAL
1d,ETHUSDT_1d,GradientBoostingClassifier,"{0: 0.5027322404371585, 1: 0.4972677595628415}",DESBALANCEO PREDICCIÓN
1d,XRPUSDT_1d,GradientBoostingClassifier,0.5126368677558365,F1 VALIDATION
1d,XRPUSDT_1d,GradientBoostingClassifier,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
1d,XRPUSDT_1d,GradientBoostingClassifier,"{1: 0.5866666666666667, 0: 0.41333333333333333}",DESBALANCEO PREDICCIÓN VAL
1d,XRPUSDT_1d,GradientBoostingClassifier,0.5002328138121745,F1 VALIDATION
1d,XRPUSDT_1d,GradientBoostingClassifier,"{1: 0.6, 0: 0.4}",DESBALANCEO REAL VAL
1d,XRPUSDT_1d,GradientBoostingClassifier,"{1: 0.7733333333333333, 0: 0.22666666666666666}",DESBALANCEO PREDICCIÓN VAL
