Frequency,Asset,Model,Accuracy,Vald/Test
1h,TRXUSDT_1h,GradientBoostingClassifier,"{1: 0.575, 0: 0.425}",DESBALANCEO REAL VAL
1h,TRXUSDT_1h,GradientBoostingClassifier,"{0: 0.5583333333333333, 1: 0.44166666666666665}",DESBALANCEO PREDICCIÓN VAL
1h,TRXUSDT_1h,GradientBoostingClassifier,0.5007419244378496,FINAL TEST
1h,TRXUSDT_1h,GradientBoostingClassifier,0.49861212512305525,F1 FINAL TEST
1h,TRXUSDT_1h,GradientBoostingClassifier,"{1: 0.5325876041547769, 0: 0.46741239584522315}",DESBALANCEO REAL
1h,TRXUSDT_1h,GradientBoostingClassifier,"{1: 0.5325876041547769, 0: 0.46741239584522315}",DESBALANCEO PREDICCIÓN
1h,LINKUSDT_1h,GradientBoostingClassifier,0.4760540227201918,F1 VALIDATION
1h,LINKUSDT_1h,GradientBoostingClassifier,"{0: 0.575, 1: 0.425}",DESBALANCEO REAL VAL
1h,LINKUSDT_1h,GradientBoostingClassifier,"{1: 0.5583333333333333, 0: 0.44166666666666665}",DESBALANCEO PREDICCIÓN VAL
1h,LINKUSDT_1h,GradientBoostingClassifier,0.4920671156260701,FINAL TEST
1h,LINKUSDT_1h,GradientBoostingClassifier,0.491953525999388,F1 FINAL TEST
1h,LINKUSDT_1h,GradientBoostingClassifier,"{0: 0.5056500399497774, 1: 0.4943499600502226}",DESBALANCEO REAL
1h,LINKUSDT_1h,GradientBoostingClassifier,"{0: 0.5093025910284215, 1: 0.4906974089715786}",DESBALANCEO PREDICCIÓN
1h,AVAXUSDT_1h,GradientBoostingClassifier,0.503113420525686,F1 VALIDATION
1h,AVAXUSDT_1h,GradientBoostingClassifier,"{0: 0.5666666666666667, 1: 0.43333333333333335}",DESBALANCEO REAL VAL
1h,AVAXUSDT_1h,GradientBoostingClassifier,"{1: 0.525, 0: 0.475}",DESBALANCEO PREDICCIÓN VAL
1h,AVAXUSDT_1h,GradientBoostingClassifier,0.49514895559867594,FINAL TEST
1h,AVAXUSDT_1h,GradientBoostingClassifier,0.4930028659736572,F1 FINAL TEST
1h,AVAXUSDT_1h,GradientBoostingClassifier,"{0: 0.513982422097934, 1: 0.48601757790206596}",DESBALANCEO REAL
1h,AVAXUSDT_1h,GradientBoostingClassifier,"{0: 0.5510786439904121, 1: 0.44892135600958794}",DESBALANCEO PREDICCIÓN
4h,BTCUSDT_4h,MLPClassifier,0.3528329378452627,F1 VALIDATION
4h,BTCUSDT_4h,MLPClassifier,"{1: 0.5172413793103449, 0: 0.4827586206896552}",DESBALANCEO REAL VAL
