Model,Asset,Accuracy,What
GradientBoostingClassifier,SOLUSDT_1h,0.5223314268015731,F1 VALIDATION
GradientBoostingClassifier,SOLUSDT_1h,"{1: 0.5476190476190477, 0: 0.4523809523809524}",DESBALANCEO REAL VAL
GradientBoostingClassifier,SOLUSDT_1h,"{0: 0.5793650793650794, 1: 0.42063492063492064}",DESBALANCEO PREDICCIÓN VAL
GradientBoostingClassifier,SOLUSDT_1h,0.5196895331583152,FINAL TEST
GradientBoostingClassifier,SOLUSDT_1h,0.5098224610129345,F1 FINAL TEST
GradientBoostingClassifier,SOLUSDT_1h,"{1: 0.5053076132861546, 0: 0.49469238671384547}",DESBALANCEO REAL
GradientBoostingClassifier,SOLUSDT_1h,"{0: 0.647186394247232, 1: 0.35281360575276793}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,ADAUSDT_1h,0.5277134505617301,F1 VALIDATION
GradientBoostingClassifier,ADAUSDT_1h,"{1: 0.5238095238095238, 0: 0.47619047619047616}",DESBALANCEO REAL VAL
GradientBoostingClassifier,ADAUSDT_1h,"{0: 0.6031746031746031, 1: 0.3968253968253968}",DESBALANCEO PREDICCIÓN VAL
GradientBoostingClassifier,ADAUSDT_1h,0.503937906631663,FINAL TEST
GradientBoostingClassifier,ADAUSDT_1h,0.5039360388411769,F1 FINAL TEST
GradientBoostingClassifier,ADAUSDT_1h,"{0: 0.5064490354982308, 1: 0.4935509645017692}",DESBALANCEO REAL
GradientBoostingClassifier,ADAUSDT_1h,"{1: 0.5083894532587604, 0: 0.4916105467412396}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,TRXUSDT_1h,0.46622876131579033,F1 VALIDATION
GradientBoostingClassifier,TRXUSDT_1h,"{1: 0.5952380952380952, 0: 0.40476190476190477}",DESBALANCEO REAL VAL
GradientBoostingClassifier,TRXUSDT_1h,"{0: 0.6349206349206349, 1: 0.36507936507936506}",DESBALANCEO PREDICCIÓN VAL
GradientBoostingClassifier,TRXUSDT_1h,0.5080470265951376,FINAL TEST
GradientBoostingClassifier,TRXUSDT_1h,0.507761508839717,F1 FINAL TEST
GradientBoostingClassifier,TRXUSDT_1h,"{1: 0.5171784042917476, 0: 0.4828215957082525}",DESBALANCEO REAL
GradientBoostingClassifier,TRXUSDT_1h,"{1: 0.5069056043830613, 0: 0.4930943956169387}",DESBALANCEO PREDICCIÓN
GradientBoostingClassifier,LINKUSDT_1h,0.482179723839392,F1 VALIDATION
GradientBoostingClassifier,LINKUSDT_1h,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
GradientBoostingClassifier,LINKUSDT_1h,"{0: 0.5952380952380952, 1: 0.40476190476190477}",DESBALANCEO PREDICCIÓN VAL
